EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=600,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
7,167.44,167.6025,167.41,167.5,23585
8,167.5,167.58,167.44,167.474,15984
9,167.23,167.5,167.18,167.4301,23547
10,167.22,167.32,167.11,167.23,28590
11,167.62,168.13,167.26,167.26,23191
12,167.32,167.67,167.31,167.59,25461
13,167.25,167.36,167.185,167.32,15698
14,167.28,167.43,167.13,167.26,18709
15,167.17,167.455,167.07,167.31,31406
16,167.09,167.34,167.05,167.175,22817
17,166.78,167.08,166.78,167.06,53359
18,166.595,166.86,166.57,166.805,65358
19,166.65,166.98,166.58,166.61,64119
20,166.66,166.87,166.585,166.67,127432
21,166.15,167.3,166.14,166.7,36511
22,166.8612,166.955,166.07,166.165,29067
23,166.6,166.9,166.47,166.8604,14739
24,166.29,166.81,166.11,166.495,35215
25,166.19,166.305,166.06,166.18,15184
26,166.14,166.14,165.89,166.14,16447
27,166.725,166.725,166.16,166.16,15808
28,166.4867,166.7519,166.2401,166.7227,9752
29,166.59,166.8929,166.41,166.4287,10752
30,166.8,167,166.5701,166.66,21622
31,166.42,166.84,166.19,166.78,14257
32,166.14,166.71,166.04,166.51,16408
33,166.36,166.5,166.1019,166.195,28288
34,166.48,166.7,166.28,166.31,35024
35,166.45,166.6886,166.44,166.45,9539
36,166.5725,166.72,166.37,166.45,7897
37,166.49,166.632,166.39,166.63,43466
38,166.42,166.58,166.36,166.49,23235
432,166.82,166.86,166.38,166.38,20569
433,166.79,167.01,166.62,166.82,27826
434,166.915,167.3,166.785,166.83,15764
435,167.18,167.18,166.8,166.93,20790
436,167.14,167.28,167.03,167.18,9822
437,166.91,167.09,166.88,167.07,6104
438,167.06,167.0706,166.82,166.82,17976
439,167.25,167.29,166.98,167.075,6923
440,167.67,167.74,167.17,167.26,24696
441,168.01,168.05,167.67,167.67,26100
442,168.015,168.26,167.94,167.95,25054
443,167.85,168.06,167.8,167.99,14611
444,167.485,167.85,167.29,167.85,13556
445,167.52,167.59,167.31,167.46,18405
446,167.9,167.94,167.47,167.5,36264
447,167.85,167.945,167.7,167.84,50294
448,168.33,168.33,167.85,167.88,30469
449,168.625,168.66,168.29,168.33,38527
450,168.7,168.85,168.5,168.66,46593
451,168.74,168.93,168.61,168.73,65633
452,168.46,168.79,168.37,168.72,169812
453,169.1206,169.34,168.18,168.98,21940
454,168.31,169.23,168.07,169.23,62387
455,168.13,168.3599,167.91,168.32,42359
456,167.95,168.14,167.59,168.05,28314
457,168.11,168.2699,167.75,167.89,17728
458,167.6,168.2099,167.6,168.09,10347
459,167.735,167.89,167.57,167.575,10735
460,167.65,167.7599,167.45,167.735,33414
461,167.56,167.67,167.17,167.57,11538
462,167.51,167.62,167.341,167.61,27662
463,167.225,167.5699,167.17,167.5568,21742
464,167.68,167.68,167.18,167.18,24204
465,168.2,168.24,167.69,167.69,15067
466,168.055,168.24,168.02,168.2,8525
467,167.95,168.13,167.89,168.01,11540
468,167.81,168.06,167.81,167.975,10435
469,167.48,167.79,167.42,167.79,20774
470,168.27,168.27,167.48,167.48,25825
576,168.2383,168.49,168.2,168.27,20660
577,168.05,168.28,167.99,168.28,10168
578,168.09,168.1399,167.84,168.05,18707
579,168.39,168.4,168.02,168.06,11023
580,168.24,168.37,168.23,168.29,7886
581,168.43,168.43,168.22,168.23,12913
582,168.315,168.44,168.29,168.42,7064
583,168.29,168.4,168.23,168.2975,12531
584,168.35,168.48,168.22,168.2926,8348
585,168.1,168.46,167.83,168.27,18889
586,168.3,168.37,168.0552,168.16,25284
587,167.93,168.24,167.83,168.24,16822
588,167.79,167.9,167.66,167.89,23129
589,167.32,167.93,167.32,167.74,22823
590,167.7899,167.7899,167.25,167.37,29604
591,167.83,167.91,167.6501,167.76,21368
592,167.98,168.135,167.73,167.78,39226
593,168.03,168.13,167.825,167.91,35601
594,168.55,168.6,168.03,168.03,43660
595,168.67,169.12,168.59,168.6,67869
596,168.4,168.78,168.4,168.63,141840
597,168.03,168.3,167.19,167.21,44783
598,167.565,168.24,167.51,167.96,18440
599,167.66,167.71,167.25,167.61,38037
600,167.55,167.7,167.37,167.57,16987
601,167.12,167.42,166.55,167.42,29998
602,166.68,167.1099,166.6,167.1099,44838
603,166.18,166.66,166.11,166.66,20349
604,165.97,166.29,165.75,166.1923,37901
605,165.86,166.11,165.72,165.99,31630
606,166.02,166.37,165.95,165.95,11163
607,166.68,166.68,166.12,166.13,22263
608,166.39,166.73,166.33,166.69,12942
609,166.72,166.85,166.32,166.375,13216
610,166.79,166.85,166.675,166.72,10634
611,167.035,167.08,166.78,166.85,8728
612,167.055,167.14,166.905,167.02,13513
613,166.925,167.17,166.8401,167.05,31238
614,166.68,167,166.61,166.95,10216
720,167.08,167.11,166.57,166.69,75148
721,167.1,167.243,166.98,167.0101,11638
722,166.93,167.1,166.93,167.05,17048
723,166.8,167.01,166.78,166.96,52074
724,166.84,167.05,166.81,166.83,14108
725,166.66,166.88,166.6,166.86,18053
726,166.51,166.7,166.46,166.7,19067
727,166.42,166.59,166.32,166.53,9988
728,165.95,166.43,165.91,166.39,13067
729,166.06,166.37,165.97,166.04,17747
730,165.73,166.28,165.73,166.07,30538
731,166.04,166.06,165.35,165.74,27336
732,166.12,166.35,165.95,166,21946
733,166.07,166.19,165.95,166.14,25203
734,166.22,166.25,166.06,166.09,17903
735,166.55,166.56,166.16,166.26,25474
736,166.48,166.7,166.43,166.55,25714
737,166.535,166.73,166.45,166.52,15303
738,166.65,166.74,166.475,166.52,46694
739,166.71,166.74,166.32,166.65,41979
740,166.8,166.85,166.5201,166.76,103656
741,165,165.52,164.57,165.33,8333
742,164.97,165.11,164.74,165.01,8221
743,164.925,165.13,164.7,165.01,21241
744,164.94,165.19,164.8326,164.94,20252
745,165.13,165.13,164.82,164.97,12247
746,164.75,165.15,164.75,165.13,11796
747,164.48,164.93,164.161,164.83,12093
748,164.24,164.63,164.155,164.39,11577
749,163.91,164.36,163.815,164.32,18046
750,163.44,164.05,163.44,164,7387
751,163.56,163.74,163.445,163.49,16738
752,163.38,163.72,163.31,163.54,7379
753,163.69,163.72,163.2831,163.44,21165
754,163.765,163.96,163.67,163.69,14140
755,163.59,163.8484,163.46,163.47,9325
756,163.825,163.825,163.505,163.52,11401
757,163.93,163.9799,163.65,163.76,11336
758,164,164,163.79,163.92,17579
864,163.91,164.03,163.765,164.005,13730
865,163.66,163.92,163.66,163.91,5940
866,163.72,163.83,163.55,163.74,7164
867,163.72,163.94,163.72,163.75,5241
868,163.74,163.83,163.52,163.78,37857
